x,y,timestamp,username,level,algorithm
20,3,2.007,tha,1,DFS
20,3,2.019,tha,1,DFS
20,3,2.037,tha,1,DFS
20,3,2.053,tha,1,DFS
20,3,2.07,tha,1,DFS
20,3,2.088,tha,1,DFS
20,3,2.105,tha,1,DFS
20,3,2.121,tha,1,DFS
20,3,2.138,tha,1,DFS
20,3,2.155,tha,1,DFS
20,3,2.172,tha,1,DFS
20,3,2.189,tha,1,DFS
20,4,2.207,tha,1,DFS
20,4,2.223,tha,1,DFS
20,4,2.24,tha,1,DFS
20,4,2.257,tha,1,DFS
20,4,2.275,tha,1,DFS
20,4,2.292,tha,1,DFS
20,4,2.308,tha,1,DFS
20,4,2.325,tha,1,DFS
20,4,2.343,tha,1,DFS
20,4,2.359,tha,1,DFS
20,4,2.376,tha,1,DFS
20,4,2.394,tha,1,DFS
20,5,2.41,tha,1,DFS
20,5,2.428,tha,1,DFS
20,5,2.444,tha,1,DFS
20,5,2.462,tha,1,DFS
20,5,2.479,tha,1,DFS
20,5,2.496,tha,1,DFS
20,5,2.513,tha,1,DFS
20,5,2.53,tha,1,DFS
20,5,2.547,tha,1,DFS
20,5,2.564,tha,1,DFS
20,5,2.581,tha,1,DFS
20,5,2.599,tha,1,DFS
20,6,2.615,tha,1,DFS
20,6,2.632,tha,1,DFS
20,6,2.65,tha,1,DFS
20,6,2.667,tha,1,DFS
20,6,2.685,tha,1,DFS
20,6,2.701,tha,1,DFS
20,6,2.718,tha,1,DFS
20,6,2.735,tha,1,DFS
20,6,2.753,tha,1,DFS
20,6,2.769,tha,1,DFS
20,6,2.786,tha,1,DFS
20,6,2.803,tha,1,DFS
20,7,2.821,tha,1,DFS
20,7,2.837,tha,1,DFS
20,7,2.854,tha,1,DFS
20,7,2.871,tha,1,DFS
20,7,2.888,tha,1,DFS
20,7,2.905,tha,1,DFS
20,7,2.922,tha,1,DFS
20,7,2.939,tha,1,DFS
20,7,2.956,tha,1,DFS
20,7,2.973,tha,1,DFS
20,7,2.99,tha,1,DFS
20,7,3.007,tha,1,DFS
20,8,3.025,tha,1,DFS
20,8,3.042,tha,1,DFS
20,8,3.059,tha,1,DFS
20,8,3.077,tha,1,DFS
20,8,3.093,tha,1,DFS
20,8,3.111,tha,1,DFS
20,8,3.127,tha,1,DFS
20,8,3.145,tha,1,DFS
20,8,3.161,tha,1,DFS
20,8,3.178,tha,1,DFS
20,8,3.196,tha,1,DFS
20,8,3.212,tha,1,DFS
20,9,3.229,tha,1,DFS
20,9,3.247,tha,1,DFS
20,9,3.263,tha,1,DFS
20,9,3.28,tha,1,DFS
20,9,3.298,tha,1,DFS
20,9,3.314,tha,1,DFS
20,9,3.332,tha,1,DFS
20,9,3.348,tha,1,DFS
20,9,3.366,tha,1,DFS
