x,y,frequency,username,level,algorithm,success
20,3,13,napat,1,DFS,1
20,4,12,napat,1,DFS,1
20,5,12,napat,1,DFS,1
20,6,12,napat,1,DFS,1
20,7,12,napat,1,DFS,1
20,8,12,napat,1,DFS,1
20,9,12,napat,1,DFS,1
20,10,12,napat,1,DFS,1
20,11,12,napat,1,DFS,1
20,12,12,napat,1,DFS,1
20,13,12,napat,1,DFS,1
20,14,12,napat,1,DFS,1
20,15,12,napat,1,DFS,1
20,16,12,napat,1,DFS,1
20,17,12,napat,1,DFS,1
20,18,12,napat,1,DFS,1
20,19,12,napat,1,DFS,1
20,20,12,napat,1,DFS,1
20,21,12,napat,1,DFS,1
20,22,12,napat,1,DFS,1
20,23,12,napat,1,DFS,1
20,24,12,napat,1,DFS,1
20,25,12,napat,1,DFS,1
20,26,12,napat,1,DFS,1
20,27,12,napat,1,DFS,1
20,28,12,napat,1,DFS,1
20,29,12,napat,1,DFS,1
20,30,12,napat,1,DFS,1
20,31,12,napat,1,DFS,1
20,32,12,napat,1,DFS,1
20,33,12,napat,1,DFS,1
20,34,12,napat,1,DFS,1
20,35,13,napat,1,DFS,1
20,36,12,napat,1,DFS,1
20,37,12,napat,1,DFS,1
20,38,12,napat,1,DFS,1
20,39,12,napat,1,DFS,1
20,40,12,napat,1,DFS,1
20,41,12,napat,1,DFS,1
20,42,12,napat,1,DFS,1
19,42,12,napat,1,DFS,1
18,42,12,napat,1,DFS,1
18,41,12,napat,1,DFS,1
18,40,12,napat,1,DFS,1
18,39,12,napat,1,DFS,1
17,39,12,napat,1,DFS,1
16,39,12,napat,1,DFS,1
16,40,12,napat,1,DFS,1
16,41,12,napat,1,DFS,1
16,42,12,napat,1,DFS,1
15,42,12,napat,1,DFS,1
14,42,12,napat,1,DFS,1
14,41,12,napat,1,DFS,1
14,40,12,napat,1,DFS,1
14,39,12,napat,1,DFS,1
13,39,12,napat,1,DFS,1
12,39,13,napat,1,DFS,1
12,40,12,napat,1,DFS,1
12,41,13,napat,1,DFS,1
12,42,13,napat,1,DFS,1
11,42,12,napat,1,DFS,1
10,42,13,napat,1,DFS,1
10,41,12,napat,1,DFS,1
10,40,12,napat,1,DFS,1
10,39,13,napat,1,DFS,1
10,38,12,napat,1,DFS,1
11,38,13,napat,1,DFS,1
11,37,13,napat,1,DFS,1
12,37,13,napat,1,DFS,1
12,36,13,napat,1,DFS,1
12,35,12,napat,1,DFS,1
12,34,12,napat,1,DFS,1
12,33,13,napat,1,DFS,1
12,32,13,napat,1,DFS,1
12,31,13,napat,1,DFS,1
12,30,13,napat,1,DFS,1
12,29,12,napat,1,DFS,1
12,28,12,napat,1,DFS,1
12,27,13,napat,1,DFS,1
12,26,12,napat,1,DFS,1
12,25,12,napat,1,DFS,1
12,24,12,napat,1,DFS,1
12,23,13,napat,1,DFS,1
12,22,13,napat,1,DFS,1
12,21,12,napat,1,DFS,1
12,20,12,napat,1,DFS,1
12,19,12,napat,1,DFS,1
12,18,13,napat,1,DFS,1
13,18,12,napat,1,DFS,1
14,18,13,napat,1,DFS,1
15,18,13,napat,1,DFS,1
16,18,12,napat,1,DFS,1
17,18,13,napat,1,DFS,1
18,18,13,napat,1,DFS,1
18,17,13,napat,1,DFS,1
18,16,13,napat,1,DFS,1
18,15,13,napat,1,DFS,1
18,14,13,napat,1,DFS,1
18,13,12,napat,1,DFS,1
18,12,13,napat,1,DFS,1
18,11,11,napat,1,DFS,1
18,10,13,napat,1,DFS,1
18,9,12,napat,1,DFS,1
18,8,13,napat,1,DFS,1
18,7,13,napat,1,DFS,1
18,6,12,napat,1,DFS,1
18,5,13,napat,1,DFS,1
18,4,13,napat,1,DFS,1
18,3,12,napat,1,DFS,1
18,2,13,napat,1,DFS,1
17,2,13,napat,1,DFS,1
16,2,12,napat,1,DFS,1
16,3,12,napat,1,DFS,1
16,4,13,napat,1,DFS,1
16,5,12,napat,1,DFS,1
16,6,12,napat,1,DFS,1
16,7,13,napat,1,DFS,1
16,8,12,napat,1,DFS,1
16,9,12,napat,1,DFS,1
16,10,13,napat,1,DFS,1
16,11,12,napat,1,DFS,1
16,12,12,napat,1,DFS,1
16,13,13,napat,1,DFS,1
16,14,12,napat,1,DFS,1
16,15,13,napat,1,DFS,1
16,16,12,napat,1,DFS,1
15,16,13,napat,1,DFS,1
14,16,12,napat,1,DFS,1
14,15,12,napat,1,DFS,1
14,14,13,napat,1,DFS,1
14,13,12,napat,1,DFS,1
14,12,12,napat,1,DFS,1
14,11,13,napat,1,DFS,1
14,10,12,napat,1,DFS,1
14,9,13,napat,1,DFS,1
14,8,12,napat,1,DFS,1
14,7,13,napat,1,DFS,1
14,6,13,napat,1,DFS,1
14,5,12,napat,1,DFS,1
14,4,12,napat,1,DFS,1
14,3,13,napat,1,DFS,1
14,2,13,napat,1,DFS,1
13,2,13,napat,1,DFS,1
12,2,12,napat,1,DFS,1
12,3,12,napat,1,DFS,1
12,4,13,napat,1,DFS,1
12,5,13,napat,1,DFS,1
11,5,12,napat,1,DFS,1
10,5,12,napat,1,DFS,1
10,4,13,napat,1,DFS,1
10,3,13,napat,1,DFS,1
10,2,12,napat,1,DFS,1
9,2,12,napat,1,DFS,1
8,2,13,napat,1,DFS,1
8,3,13,napat,1,DFS,1
8,4,12,napat,1,DFS,1
8,5,12,napat,1,DFS,1
7,5,13,napat,1,DFS,1
6,5,12,napat,1,DFS,1
6,4,13,napat,1,DFS,1
6,3,13,napat,1,DFS,1
6,2,13,napat,1,DFS,1
5,2,12,napat,1,DFS,1
4,2,12,napat,1,DFS,1
4,3,13,napat,1,DFS,1
4,4,13,napat,1,DFS,1
4,5,12,napat,1,DFS,1
3,5,12,napat,1,DFS,1
2,5,13,napat,1,DFS,1
2,6,13,napat,1,DFS,1
2,7,13,napat,1,DFS,1
2,8,12,napat,1,DFS,1
2,9,13,napat,1,DFS,1
2,10,13,napat,1,DFS,1
2,11,13,napat,1,DFS,1
2,12,12,napat,1,DFS,1
2,13,12,napat,1,DFS,1
2,14,13,napat,1,DFS,1
2,15,12,napat,1,DFS,1
2,16,13,napat,1,DFS,1
2,17,12,napat,1,DFS,1
2,18,13,napat,1,DFS,1
2,19,12,napat,1,DFS,1
2,20,13,napat,1,DFS,1
2,21,12,napat,1,DFS,1
2,22,13,napat,1,DFS,1
2,23,12,napat,1,DFS,1
2,24,12,napat,1,DFS,1
2,25,12,napat,1,DFS,1
2,26,13,napat,1,DFS,1
2,27,13,napat,1,DFS,1
2,28,12,napat,1,DFS,1
2,29,13,napat,1,DFS,1
2,30,12,napat,1,DFS,1
2,31,13,napat,1,DFS,1
2,32,13,napat,1,DFS,1
2,33,13,napat,1,DFS,1
2,34,12,napat,1,DFS,1
2,35,12,napat,1,DFS,1
2,36,12,napat,1,DFS,1
2,37,13,napat,1,DFS,1
2,38,13,napat,1,DFS,1
2,39,13,napat,1,DFS,1
2,40,13,napat,1,DFS,1
2,41,12,napat,1,DFS,1
3,42,1,napat,1,DFS,1
21,4,2,napat,5,DFS,1
20,4,26,napat,5,DFS,1
20,5,26,napat,5,DFS,1
20,6,25,napat,5,DFS,1
20,7,24,napat,5,DFS,1
20,8,26,napat,5,DFS,1
20,9,25,napat,5,DFS,1
20,10,26,napat,5,DFS,1
20,11,25,napat,5,DFS,1
20,12,25,napat,5,DFS,1
20,13,16,napat,5,DFS,1
20,3,13,napat,5,DFS,1
20,2,12,napat,5,DFS,1
19,2,12,napat,5,DFS,1
18,2,13,napat,5,DFS,1
